REG,DATE,FROM,TO,FLIGHT,DURATION,SDT,ADT,ETA,STATUS
PS-CNT,04 Feb 2022,Curitiba (CWB),Arapongas (APX),AD5474,—,14:45,—,16:25,Canceled
PS-CNT,04 Feb 2022,Curitiba (CWB),Francisco Beltrao (FBE),AD5487,1:34,14:40,14:45,16:35,Landed 16:19
PS-CNT,04 Feb 2022,—,Curitiba (CWB),AD5481,0:51,16:02,16:02,13:53,Landed 13:53
PS-CNT,04 Feb 2022,Telêmaco Borba (TEC),Curitiba (CWB),AD5473,—,12:55,13:04,14:00,Estimated departure 13:04
PS-CNT,04 Feb 2022,Curitiba (CWB),Cianorte (GGH),AD5481,0:55,11:42,11:42,11:37,Landed 11:37
PS-CNT,04 Feb 2022,Curitiba (CWB),Telêmaco Borba (TEC),AD5472,—,11:20,11:44,12:30,Estimated departure 11:44
PS-CNT,04 Feb 2022,Maringa (MGF),Curitiba (CWB),AD5481,1:18,9:42,9:42,11:00,Landed 11:00
PS-CNT,04 Feb 2022,Maringa (MGF),Curitiba (CWB),AD5920,—,9:15,9:43,10:45,Estimated departure 09:43
PS-CNT,04 Feb 2022,Curitiba (CWB),Cianorte (GGH),AD5481,1:52,6:43,6:43,7:35,Landed 07:35
PS-CNT,04 Feb 2022,Curitiba (CWB),Cianorte (GGH),AD5470,—,6:30,6:45,8:30,Estimated departure 06:45
PS-CNT,03 Feb 2022,Umuarama (UMU),Curitiba (CWB),AD5481,1:36,20:05,20:00,21:55,Landed 21:36
PS-CNT,03 Feb 2022,Curitiba (CWB),Umuarama (UMU),AD5480,1:51,17:15,17:14,19:10,Landed 19:06
PS-CNT,03 Feb 2022,Curitiba (CWB),Curitiba (CWB),AD5478,1:06,15:31,15:31,16:37,Landed 16:37
PS-CNT,03 Feb 2022,Apucarana (APU),Curitiba (CWB),AD5479,—,15:30,15:32,16:50,Estimated departure 15:32
PS-CNT,03 Feb 2022,Curitiba (CWB),Apucarana (APU),AD5478,1:25,13:30,13:38,15:05,Landed 15:03
PS-CNT,03 Feb 2022,Curitiba (CWB),Curitiba (CWB),AD5475,1:01,11:40,11:40,12:41,Landed 12:41
PS-CNT,03 Feb 2022,Cornélio Procópio (CKO),Curitiba (CWB),AD5492,—,11:10,11:41,12:30,Estimated departure 11:41
PS-CNT,03 Feb 2022,Curitiba (CWB),Arapongas (APX),AD5475,1:26,9:32,9:32,10:58,Landed 10:58
PS-CNT,03 Feb 2022,Curitiba (CWB),Cornélio Procópio (CKO),AD5491,—,9:15,9:35,10:45,Estimated departure 09:35
PS-CNT,02 Feb 2022,Arapongas (APX),Curitiba (CWB),AD5475,—,16:50,16:40,18:20,Estimated departure 16:40
PS-CNT,02 Feb 2022,Curitiba (CWB),Arapongas (APX),AD5475,1:15,16:38,16:38,17:53,Landed 17:53
PS-CNT,02 Feb 2022,Curitiba (CWB),Arapongas (APX),AD5474,1:18,14:45,14:51,16:25,Landed 16:10
PS-CNT,02 Feb 2022,Telêmaco Borba (TEC),Curitiba (CWB),AD5473,0:48,12:55,12:52,14:00,Landed 13:40
PS-CNT,02 Feb 2022,Curitiba (CWB),—,AD5471,0:56,11:10,11:10,15:06,Landed 15:06
PT-MEA,11 Feb 2022,Recife (REC),Serra Talhada (SET),AD5362,—,8:35,—,10:10,Scheduled
PT-MEA,10 Feb 2022,Recife (REC),Serra Talhada (SET),AD5362,—,8:35,—,10:10,Scheduled
PT-MEA,09 Feb 2022,Serra Talhada (SET),Recife (REC),AD5363,1:28,10:35,10:31,12:15,Landed 11:59
PT-MEA,09 Feb 2022,Recife (REC),Serra Talhada (SET),AD5362,1:26,8:35,8:42,10:10,Landed 10:07
PT-MEA,08 Feb 2022,—,Recife (REC),AD5369,1:09,20:25,20:46,18:40,Landed 18:55
PT-MEA,08 Feb 2022,Recife (REC),Patos (JPO),AD5368,1:12,15:45,15:49,17:00,Landed 17:01
PT-MEA,08 Feb 2022,Caruaru (CAU),Recife (REC),AD5365,0:34,14:20,14:16,15:00,Landed 14:50
PT-MEA,08 Feb 2022,Recife (REC),Caruaru (CAU),AD5364,0:33,13:15,13:09,13:55,Landed 13:42
PT-MEA,08 Feb 2022,Serra Talhada (SET),Recife (REC),AD5363,1:26,10:35,10:35,12:15,Landed 12:01
PT-MEA,08 Feb 2022,Recife (REC),Serra Talhada (SET),AD5362,1:30,8:35,8:34,10:10,Landed 10:04
PT-MEA,07 Feb 2022,Patos (JPO),Recife (REC),AD5369,0:48,17:25,17:48,18:40,Landed 18:36
PT-MEA,07 Feb 2022,Recife (REC),Patos (JPO),AD5368,1:08,15:45,15:47,17:00,Landed 16:55
PT-MEA,07 Feb 2022,Caruaru (CAU),Recife (REC),AD5363,0:32,14:24,14:24,14:55,Landed 14:55
PT-MEA,07 Feb 2022,Caruaru (CAU),Recife (REC),AD5365,—,14:20,14:24,15:00,Estimated departure 14:24
PT-MEA,07 Feb 2022,Recife (REC),Caruaru (CAU),AD5363,0:32,13:25,13:25,13:57,Landed 13:57
PT-MEA,07 Feb 2022,Recife (REC),Caruaru (CAU),AD5364,—,13:15,13:26,13:55,Estimated departure 13:26
PT-MEA,07 Feb 2022,Serra Talhada (SET),Recife (REC),AD5363,1:27,10:35,10:28,12:15,Landed 11:54
PT-MEA,07 Feb 2022,Recife (REC),Serra Talhada (SET),AD5362,1:26,8:35,8:35,10:10,Landed 10:00
PT-MEA,04 Feb 2022,Patos (JPO),Recife (REC),AD5369,—,17:25,—,18:40,Landed 18:45
PT-MEA,04 Feb 2022,Recife (REC),Patos (JPO),AD5368,1:15,15:45,15:53,17:00,Landed 17:08
PT-MEA,04 Feb 2022,Caruaru (CAU),Recife (REC),AD5365,0:33,14:20,14:28,15:00,Landed 15:01
PT-MEA,04 Feb 2022,Recife (REC),Caruaru (CAU),AD5364,0:35,13:15,13:25,13:55,Landed 14:00
PT-MEA,04 Feb 2022,Serra Talhada (SET),Recife (REC),AD5363,1:49,10:35,10:16,12:15,Landed 12:05
PT-MEA,04 Feb 2022,Recife (REC),Serra Talhada (SET),AD5362,1:25,8:35,8:27,10:10,Landed 09:52
PT-MEA,03 Feb 2022,—,Recife (REC),AD5369,1:06,20:25,20:40,18:40,Landed 18:46
PT-MEA,03 Feb 2022,Recife (REC),Patos (JPO),AD5368,1:16,15:45,15:57,17:00,Landed 17:13
PT-MEA,03 Feb 2022,Caruaru (CAU),Recife (REC),AD5365,0:35,14:20,14:20,15:00,Landed 14:55
PT-MEA,03 Feb 2022,Recife (REC),Caruaru (CAU),AD5364,0:33,13:15,13:16,13:55,Landed 13:49
PT-MEA,03 Feb 2022,Serra Talhada (SET),Recife (REC),AD5363,1:29,10:35,10:16,12:15,Landed 11:46
PT-MEA,03 Feb 2022,Recife (REC),Serra Talhada (SET),AD5362,1:24,8:35,8:33,10:10,Landed 09:57
PT-MEA,02 Feb 2022,—,Recife (REC),AD5369,1:09,20:25,20:21,18:40,Landed 18:29
PT-MEA,02 Feb 2022,Recife (REC),Patos (JPO),AD5368,1:07,15:45,15:41,17:00,Landed 16:49
PT-MEA,02 Feb 2022,Caruaru (CAU),Recife (REC),AD5365,0:32,14:20,14:14,15:00,Landed 14:46
PT-MEA,02 Feb 2022,Recife (REC),Caruaru (CAU),AD5364,0:32,13:15,13:15,13:55,Landed 13:47
PT-MED,11 Feb 2022,Belem (BEL),Santarem (STM),AD5467,—,2:40,—,5:15,Scheduled
PT-MED,10 Feb 2022,Coari (CIZ),Manaus (MAO),AD5320,—,16:40,—,18:15,Scheduled
PT-MED,10 Feb 2022,Manaus (MAO),Coari (CIZ),AD5319,—,14:45,—,16:15,Scheduled
PT-MED,10 Feb 2022,Maués (MBZ),Manaus (MAO),AD5318,—,12:40,—,13:50,Scheduled
PT-MED,10 Feb 2022,Manaus (MAO),Maués (MBZ),AD5317,—,11:00,—,12:15,Scheduled
PT-MED,10 Feb 2022,Coari (CIZ),Manaus (MAO),AD5312,—,8:25,—,10:00,Scheduled
PT-MED,10 Feb 2022,Manaus (MAO),Coari (CIZ),AD5311,—,6:30,—,8:00,Scheduled
PT-MED,09 Feb 2022,Santarem (STM),Manaus (MAO),AD5900,—,14:25,—,15:25,Scheduled
PT-MED,09 Feb 2022,Juruti (JRT),Itaituba (ITB),AD5550,—,9:55,—,11:55,Scheduled
PT-MED,09 Feb 2022,Óbidos (OBI),Oriximiná (ORX),AD5550,—,9:15,8:49,9:45,Unknown
PT-MED,09 Feb 2022,Monte Alegre (MTE),Óbidos (OBI),AD5550,—,8:10,7:09,8:50,Unknown
PT-MED,09 Feb 2022,Santarem (STM),Monte Alegre (MTE),AD5550,0:22,6:15,6:21,7:50,Landed 06:43
PT-MED,09 Feb 2022,Belem (BEL),Santarem (STM),AD5467,2:25,2:40,2:44,5:15,Landed 05:09
PT-MED,08 Feb 2022,Tucurui (TUR),Belem (BEL),AD5330,1:40,14:50,14:45,16:15,Landed 16:25
PT-MED,08 Feb 2022,Belem (BEL),Tucurui (TUR),AD5329,1:11,12:45,13:00,14:15,Landed 14:11
PT-MED,08 Feb 2022,Paragominas (JPE),Belem (BEL),AD5328,0:49,11:55,10:59,12:00,Landed 11:47
PT-MED,08 Feb 2022,Belem (BEL),Paragominas (JPE),AD5327,0:53,9:15,9:14,11:25,Landed 10:07
PT-MED,08 Feb 2022,Breves (BVS),Belem (BEL),AD5324,0:53,7:25,7:28,8:30,Landed 08:21
PT-MED,08 Feb 2022,Belem (BEL),Breves (BVS),AD5323,0:47,6:00,6:07,7:00,Landed 06:54
PT-MED,07 Feb 2022,Santarem (STM),Belem (BEL),AD5468,2:39,14:30,15:16,17:20,Landed 17:55
PT-MED,07 Feb 2022,Itaituba (ITB),Santarem (STM),AD5550,0:59,12:35,12:31,13:40,Landed 13:30
PT-MED,07 Feb 2022,Juruti (JRT),Itaituba (ITB),AD5550,1:40,9:55,9:03,11:55,Landed 11:43
PT-MED,07 Feb 2022,Porto Trombetas (TMT),Juruti (JRT),AD5550,—,10:00,10:03,9:30,Diverted to ITB
PT-MED,07 Feb 2022,Óbidos (OBI),Oriximiná (ORX),AD5550,—,9:15,—,8:45,Diverted to TMT
PT-MED,07 Feb 2022,Oriximiná (ORX),Porto Trombetas (TMT),AD5550,—,9:10,9:19,9:35,Estimated departure 09:19
PT-MED,07 Feb 2022,Monte Alegre (MTE),Óbidos (OBI),AD5550,1:19,8:10,7:11,7:50,Landed 08:31
PT-MED,07 Feb 2022,Santarem (STM),Monte Alegre (MTE),AD5550,0:25,6:15,6:27,7:50,Landed 06:52
PT-MED,07 Feb 2022,Belem (BEL),Santarem (STM),AD5467,2:33,2:40,2:53,5:15,Landed 05:26
PT-MED,06 Feb 2022,Tucurui (TUR),Belem (BEL),AD5336,1:22,17:25,17:25,18:55,Landed 18:47
PT-MED,06 Feb 2022,Belem (BEL),Tucurui (TUR),AD5335,1:10,15:30,15:22,17:00,Landed 16:31
PT-MED,06 Feb 2022,Almeirim (MEU),Belem (BEL),AD5322,—,12:30,12:37,14:30,Unknown
PT-MED,06 Feb 2022,Belem (BEL),Almeirim (MEU),AD5321,1:32,10:20,10:22,12:05,Landed 11:53
PT-MED,06 Feb 2022,Tucurui (TUR),Belem (BEL),AD5332,1:09,7:55,7:53,9:20,Landed 09:02
PT-MED,06 Feb 2022,Belem (BEL),Tucurui (TUR),AD5331,1:07,6:00,6:04,7:30,Landed 07:11
PT-MED,05 Feb 2022,Almeirim (MEU),Belem (BEL),AD5322,—,17:10,17:11,19:10,Unknown
PT-MED,05 Feb 2022,Belem (BEL),Almeirim (MEU),AD5321,1:40,15:00,15:01,16:45,Landed 16:41
PT-MED,05 Feb 2022,Tucurui (TUR),Belem (BEL),AD5334,1:09,12:40,12:40,14:05,Landed 13:48
PT-MED,05 Feb 2022,Belem (BEL),Tucurui (TUR),AD5333,1:12,10:45,10:42,12:15,Landed 11:54
PT-MED,05 Feb 2022,—,Belem (BEL),AD5861,0:55,11:57,11:57,9:52,Landed 09:52
PT-MED,05 Feb 2022,Belem (BEL),Breves (BVS),AD5860,0:50,6:58,6:58,7:48,Landed 07:48
PT-MED,04 Feb 2022,Santarem (STM),Belem (BEL),AD5468,2:43,14:30,14:34,17:20,Landed 17:17
PT-MED,04 Feb 2022,Itaituba (ITB),Santarem (STM),AD5550,0:59,12:35,12:30,13:40,Landed 13:30
PT-MED,04 Feb 2022,Porto Trombetas (TMT),Itaituba (ITB),AD5550,1:58,10:00,9:50,10:30,Landed 11:48
PT-MED,04 Feb 2022,Porto Trombetas (TMT),Juruti (JRT),AD5550,—,—,—,8:15,Diverted to TMT
PT-MED,04 Feb 2022,Oriximiná (ORX),Porto Trombetas (TMT),AD5550,—,9:10,8:59,9:35,Estimated departure 08:59
PT-MED,04 Feb 2022,—,—,AD5550,—,10:08,10:08,—,Unknown
PT-MED,04 Feb 2022,Santarem (STM),Monte Alegre (MTE),AD5550,0:25,6:15,6:18,7:50,Landed 06:43
PT-MED,04 Feb 2022,Belem (BEL),Santarem (STM),AD5467,2:14,2:40,2:40,5:15,Landed 04:54
PT-MED,03 Feb 2022,Tucurui (TUR),Belem (BEL),AD5336,1:11,17:25,17:30,18:55,Landed 18:41
PT-MED,03 Feb 2022,Belem (BEL),Tucurui (TUR),AD5335,1:11,15:30,15:40,17:00,Landed 16:51
PT-MED,03 Feb 2022,Almeirim (MEU),Belem (BEL),AD5322,1:49,12:30,12:36,14:30,Landed 14:25
PT-MED,03 Feb 2022,Belem (BEL),Almeirim (MEU),AD5321,1:36,10:20,10:15,12:05,Landed 11:51
PT-MED,03 Feb 2022,Tucurui (TUR),Belem (BEL),AD5332,1:12,7:55,8:12,9:20,Landed 09:24
PT-MED,03 Feb 2022,Belem (BEL),Tucurui (TUR),AD5331,1:05,6:00,6:11,7:30,Landed 07:17
PT-MED,02 Feb 2022,Tucurui (TUR),Belem (BEL),AD5326,1:16,18:10,18:05,19:40,Landed 19:21
PT-MED,02 Feb 2022,Belem (BEL),Tucurui (TUR),AD5325,1:12,16:15,16:16,17:45,Landed 17:28
PT-MED,02 Feb 2022,—,—,AD5580,—,—,—,—,Unknown
PT-OGP,09 Feb 2022,Arapongas (APX),Curitiba (CWB),AD5475,—,16:50,—,18:20,Scheduled
PT-OGP,09 Feb 2022,Curitiba (CWB),Arapongas (APX),AD5474,—,14:45,—,16:25,Scheduled
PT-OGP,09 Feb 2022,Jundiai (QDV),Belo Horizonte (PLU),AD5619,1:57,6:36,6:36,8:33,Landed 08:33
PT-OGP,09 Feb 2022,Belo Horizonte (PLU),Jundiai (QDV),AD5618,1:48,3:28,3:28,5:16,Landed 05:16
PT-OGP,09 Feb 2022,Jundiai (QDV),Belo Horizonte (PLU),AD5953,1:55,0:39,0:39,2:34,Landed 02:34
PT-OGP,08 Feb 2022,Curitiba (CWB),Jundiai (QDV),AD5999,1:18,17:35,17:49,19:20,Landed 19:07
PT-OGP,08 Feb 2022,Apucarana (APU),Curitiba (CWB),AD5479,1:12,15:30,15:27,16:50,Landed 16:39
PT-OGP,08 Feb 2022,Curitiba (CWB),Apucarana (APU),AD5478,1:18,13:30,13:30,15:05,Landed 14:49
PT-OGP,08 Feb 2022,Campo Mourão (CBW),Curitiba (CWB),AD5477,1:21,11:15,11:07,12:45,Landed 12:28
PT-OGP,08 Feb 2022,Curitiba (CWB),Campo Mourão (CBW),AD5476,1:27,9:00,9:01,10:50,Landed 10:29
PT-OGP,08 Feb 2022,Jundiai (QDV),Curitiba (CWB),AD5998,1:27,6:30,6:55,8:15,Landed 08:22
PT-OGP,07 Feb 2022,Curitiba (CWB),Jundiai (QDV),AD5999,1:23,19:20,19:09,21:05,Landed 20:32
PT-OGP,07 Feb 2022,Arapongas (APX),Curitiba (CWB),AD5475,1:12,16:50,16:43,18:20,Landed 17:55
PT-OGP,07 Feb 2022,Curitiba (CWB),Arapongas (APX),AD5474,1:30,14:45,14:44,16:25,Landed 16:14
PT-OGP,07 Feb 2022,Telêmaco Borba (TEC),Curitiba (CWB),AD5473,0:48,12:55,12:44,14:00,Landed 13:33
PT-OGP,07 Feb 2022,Curitiba (CWB),Telêmaco Borba (TEC),AD5472,1:01,11:20,11:17,12:30,Landed 12:18
PT-OGP,07 Feb 2022,Curitiba (CWB),Cianorte (GGH),AD5470,—,6:30,—,8:30,Canceled
PT-OGP,06 Feb 2022,Apucarana (APU),Curitiba (CWB),AD5479,1:17,19:50,19:42,21:10,Landed 20:59
PT-OGP,06 Feb 2022,Curitiba (CWB),Apucarana (APU),AD5478,1:08,17:50,17:46,19:25,Landed 18:55
PT-OGP,06 Feb 2022,Arapongas (APX),Curitiba (CWB),AD5475,1:27,15:35,15:26,17:05,Landed 16:53
PT-OGP,06 Feb 2022,Curitiba (CWB),Arapongas (APX),AD5474,—,13:30,13:28,15:10,Estimated departure 13:28
PT-OGP,06 Feb 2022,Curitiba (CWB),—,AD5477,1:15,13:27,13:27,17:42,Landed 17:42
PT-OGP,05 Feb 2022,Campo Mourão (CBW),Curitiba (CWB),AD5477,1:24,11:15,12:15,12:45,Landed 13:39
PT-OGP,05 Feb 2022,Curitiba (CWB),Campo Mourão (CBW),AD5476,2:00,9:00,9:12,10:50,Landed 11:12
PT-OGP,05 Feb 2022,Jundiai (QDV),Curitiba (CWB),AD5900,1:27,6:38,6:38,8:05,Landed 08:05
