REG,DATE,FROM,TO,FLIGHT,DURATION,SDT,ADT,ETA,STATUS
PR-WOT,06 Feb 2022,—,Curitiba (CWB),AD5494,—,20:00,—,18:00,Landed 17:53
PR-WOT,06 Feb 2022,Curitiba (CWB),—,AD5493,—,15:25,15:27,19:35,Unknown
PR-WOT,06 Feb 2022,Cornélio Procópio (CKO),Curitiba (CWB),AD5492,—,13:20,13:14,14:40,Estimated departure 13:14
PR-WOT,06 Feb 2022,Curitiba (CWB),Cornélio Procópio (CKO),AD5491,1:17,11:25,11:32,12:55,Landed 12:49
PR-WOT,05 Feb 2022,—,—,—,—,—,—,—,Unknown
PR-WOT,05 Feb 2022,—,—,—,—,18:51,18:51,—,Unknown
PR-WOT,05 Feb 2022,—,—,—,—,14:55,14:55,—,Unknown
PR-WOT,05 Feb 2022,—,—,—,—,—,—,—,Unknown
PR-WOT,05 Feb 2022,Campinas (VCP),—,—,—,—,—,—,Unknown
PR-WOT,03 Feb 2022,Jundiai (QDV),—,—,—,—,—,—,Unknown
PR-WOT,03 Feb 2022,—,—,—,—,—,—,—,Unknown
PR-WOT,03 Feb 2022,—,—,—,—,—,—,—,Unknown
PR-WOT,03 Feb 2022,Curitiba (CWB),Campo Mourão (CBW),AD5476,—,9:00,9:00,10:50,Canceled
PR-WOT,03 Feb 2022,—,Curitiba (CWB),—,—,—,—,7:59,Landed 07:59
PR-WOT,03 Feb 2022,—,—,—,—,—,—,—,Unknown
PR-WOT,03 Feb 2022,—,—,—,—,—,—,—,Unknown
PR-WOT,03 Feb 2022,Jundiai (QDV),Curitiba (CWB),AD5998,—,6:30,6:36,8:15,Unknown
PR-WOT,02 Feb 2022,—,—,—,—,—,—,—,Unknown
PR-WOT,02 Feb 2022,Curitiba (CWB),Jundiai (QDV),AD5999,—,19:20,19:19,21:05,Estimated departure 19:19
PR-WOT,02 Feb 2022,—,—,—,—,—,—,—,Unknown
PR-WOT,02 Feb 2022,Francisco Beltrao (FBE),Curitiba (CWB),AD5488,—,17:00,16:58,18:35,Estimated departure 16:58
PR-WOT,02 Feb 2022,Curitiba (CWB),Francisco Beltrao (FBE),AD5487,1:25,14:40,14:51,16:35,Landed 16:16
PR-WOT,02 Feb 2022,—,Curitiba (CWB),AD5486,—,14:55,14:44,13:55,Unknown
PS-CNA,11 Feb 2022,Lábrea (LBR),Coari (CIZ),AD5540,—,9:10,—,10:45,Scheduled
PS-CNA,11 Feb 2022,Manaus (MAO),Lábrea (LBR),AD5540,—,6:00,—,8:40,Scheduled
PS-CNA,10 Feb 2022,Tucurui (TUR),Belem (BEL),AD5336,—,17:25,—,18:55,Scheduled
PS-CNA,10 Feb 2022,Belem (BEL),Tucurui (TUR),AD5335,—,15:30,—,17:00,Scheduled
PS-CNA,10 Feb 2022,Almeirim (MEU),Belem (BEL),AD5322,—,12:30,—,14:30,Scheduled
PS-CNA,10 Feb 2022,Belem (BEL),Almeirim (MEU),AD5321,—,10:20,—,12:05,Scheduled
PS-CNA,10 Feb 2022,Tucurui (TUR),Belem (BEL),AD5332,—,7:55,—,9:20,Scheduled
PS-CNA,10 Feb 2022,Belem (BEL),Tucurui (TUR),AD5331,—,6:00,—,7:30,Scheduled
PS-CNA,09 Feb 2022,Tucurui (TUR),Belem (BEL),AD5326,—,18:10,—,19:40,Scheduled
PS-CNA,09 Feb 2022,Belem (BEL),Tucurui (TUR),AD5325,—,16:15,—,17:45,Scheduled
PS-CNA,09 Feb 2022,Belem (BEL),—,AD5582,—,11:41,11:41,—,Scheduled
PS-CNA,09 Feb 2022,Breves (BVS),Belem (BEL),AD5582,—,8:35,9:35,9:40,Unknown
PS-CNA,09 Feb 2022,Belem (BEL),Breves (BVS),AD5581,0:49,8:17,8:17,9:06,Landed 09:06
PS-CNA,09 Feb 2022,Belem (BEL),Breves (BVS),AD5581,1:01,7:00,9:37,8:00,Landed 10:38
PS-CNA,08 Feb 2022,Tucurui (TUR),Belem (BEL),AD5336,1:11,17:25,17:55,18:55,Landed 19:06
PS-CNA,08 Feb 2022,Belem (BEL),Tucurui (TUR),AD5335,—,15:30,16:05,17:00,Estimated departure 16:05
PS-CNA,08 Feb 2022,Belem (BEL),Tucurui (TUR),AD5335,4:19,12:57,12:57,17:16,Landed 17:16
PS-CNA,08 Feb 2022,Almeirim (MEU),Belem (BEL),AD5322,—,12:30,12:53,14:30,Estimated departure 12:53
PS-CNA,08 Feb 2022,Belem (BEL),Almeirim (MEU),AD5321,1:38,10:20,10:32,12:05,Landed 12:10
PS-CNA,08 Feb 2022,Tucurui (TUR),Belem (BEL),AD5332,1:08,7:55,7:55,9:20,Landed 09:03
PS-CNA,08 Feb 2022,Belem (BEL),Tucurui (TUR),AD5331,1:04,6:00,6:10,7:30,Landed 07:14
